"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","Q","Quarterly","1990-Q1","Q1-1990","PC","Percentage","0","Units",,,8.423333,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","Q","Quarterly","1990-Q2","Q2-1990","PC","Percentage","0","Units",,,8.676666,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","Q","Quarterly","1990-Q3","Q3-1990","PC","Percentage","0","Units",,,8.703333,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","Q","Quarterly","1990-Q4","Q4-1990","PC","Percentage","0","Units",,,8.396667,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","Q","Quarterly","1991-Q1","Q1-1991","PC","Percentage","0","Units",,,8.016666,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","Q","Quarterly","1991-Q2","Q2-1991","PC","Percentage","0","Units",,,8.13,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","Q","Quarterly","1991-Q3","Q3-1991","PC","Percentage","0","Units",,,7.94,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","Q","Quarterly","1991-Q4","Q4-1991","PC","Percentage","0","Units",,,7.346667,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","Q","Quarterly","1992-Q1","Q1-1992","PC","Percentage","0","Units",,,7.303333,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","Q","Quarterly","1992-Q2","Q2-1992","PC","Percentage","0","Units",,,7.376667,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","Q","Quarterly","1992-Q3","Q3-1992","PC","Percentage","0","Units",,,6.616667,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","Q","Quarterly","1992-Q4","Q4-1992","PC","Percentage","0","Units",,,6.743333,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","Q","Quarterly","1993-Q1","Q1-1993","PC","Percentage","0","Units",,,6.28,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","Q","Quarterly","1993-Q2","Q2-1993","PC","Percentage","0","Units",,,5.99,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","Q","Quarterly","1993-Q3","Q3-1993","PC","Percentage","0","Units",,,5.616667,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","Q","Quarterly","1993-Q4","Q4-1993","PC","Percentage","0","Units",,,5.606667,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","Q","Quarterly","1994-Q1","Q1-1994","PC","Percentage","0","Units",,,6.066667,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","Q","Quarterly","1994-Q2","Q2-1994","PC","Percentage","0","Units",,,7.083333,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","Q","Quarterly","1994-Q3","Q3-1994","PC","Percentage","0","Units",,,7.333333,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","Q","Quarterly","1994-Q4","Q4-1994","PC","Percentage","0","Units",,,7.836667,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","Q","Quarterly","1995-Q1","Q1-1995","PC","Percentage","0","Units",,,7.483333,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","Q","Quarterly","1995-Q2","Q2-1995","PC","Percentage","0","Units",,,6.62,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","Q","Quarterly","1995-Q3","Q3-1995","PC","Percentage","0","Units",,,6.323333,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","Q","Quarterly","1995-Q4","Q4-1995","PC","Percentage","0","Units",,,5.893333,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","Q","Quarterly","1996-Q1","Q1-1996","PC","Percentage","0","Units",,,5.91,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","Q","Quarterly","1996-Q2","Q2-1996","PC","Percentage","0","Units",,,6.72,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","Q","Quarterly","1996-Q3","Q3-1996","PC","Percentage","0","Units",,,6.78,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","Q","Quarterly","1996-Q4","Q4-1996","PC","Percentage","0","Units",,,6.343333,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","Q","Quarterly","1997-Q1","Q1-1997","PC","Percentage","0","Units",,,6.563334,,
