"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"USA","United States","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","A","Annual","2019","2019","PC","Percentage","0","Units",,,2.467040132,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","1990-Q1","Q1-1990","PC","Percentage","0","Units",,,1.092882045,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","1990-Q2","Q2-1990","PC","Percentage","0","Units",,,0.36297003,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","1990-Q3","Q3-1990","PC","Percentage","0","Units",,,0.066581679,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","1990-Q4","Q4-1990","PC","Percentage","0","Units",,,-0.910404557,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","1991-Q1","Q1-1991","PC","Percentage","0","Units",,,-0.467940645,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","1991-Q2","Q2-1991","PC","Percentage","0","Units",,,0.779689057,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","1991-Q3","Q3-1991","PC","Percentage","0","Units",,,0.505358687,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","1991-Q4","Q4-1991","PC","Percentage","0","Units",,,0.348544845,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","1992-Q1","Q1-1992","PC","Percentage","0","Units",,,1.19725221,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","1992-Q2","Q2-1992","PC","Percentage","0","Units",,,1.084303276,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","1992-Q3","Q3-1992","PC","Percentage","0","Units",,,0.988110187,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","1992-Q4","Q4-1992","PC","Percentage","0","Units",,,1.042855599,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","1993-Q1","Q1-1993","PC","Percentage","0","Units",,,0.166943722,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","1993-Q2","Q2-1993","PC","Percentage","0","Units",,,0.582170944,,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate based on seasonally adjusted volume data, percentage change on the previous quarter","Q","Quarterly","1993-Q3","Q3-1993","PC","Percentage","0","Units",,,0.477154823,,
